Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
178484.482129491109	00025.278717734348	00000.176193438559	
178484.482129491109	00000.762502717366	00000.000166668783	
178484.482129491109	00000.013712656956	00000.000000349232	
178484.482129491109	00000.722468475113	00000.000148470078	
178484.482129491109	00001.016430438407	00000.000402098467	
178484.482129491109	00000.152666302375	00000.000008221441	
178484.482129491109	00001.364580709301	00000.017649504443	
178484.482129491109	00000.323433164588	00000.000007916942	
178484.482129491109	00001.334234819674	00000.000026037513	
178484.482129491109	00000.121314125296	00000.000021112037	
178484.482129491109	00001.378512391366	00000.000390364296	
178484.482129491109	00003.738537803740	00000.010304760581	
178484.482129491109	00001.334027505480	00000.000389844501	
178484.482129491109	00002.597766506311	00000.000568341981	
178484.482129491109	00000.202814643876	00000.000000321526	
178484.482129491109	00000.090042197105	00000.000006434336	
178484.482129491109	00152.347662709445	00000.186294450616	
178484.482129491109	00000.364043854971	00000.000064359225	
178484.482129491109	00000.400971924526	00000.000001449594	
178484.482129491109	00000.012603570746	00000.000000476579	
178484.482129491109	00000.088971478733	00000.000002330170	
01321.613511843069	00000.427985177253	00000.000688911083	
01321.613511843069	00001.811707599849	00000.004503636941	
01321.613511843069	00000.156723196039	00000.000055609194	
01321.613511843069	00000.020555143116	00000.000015526782	
01321.613511843069	00000.001259209154	00000.000011115933	
01321.613511843069	00000.000749260766	00000.000000445372	
01321.613511843069	00000.000005105241	00000.000000699651	
01321.613511843069	00000.000007183687	00000.000002084689	
01321.613511843069	00000.161116516912	00000.000007283215	
01321.613511843069	00000.002630145226	00000.000001862638	
01321.613511843069	00000.000004886310	00000.000000510856	
01321.613511843069	00000.099574309510	00000.000048806218	
01321.613511843069	00000.193391390509	00000.001179195941	
01321.613511843069	00000.128981161213	00000.000270877216	
01321.613511843069	00000.008056056908	00000.000000995887	
01321.613511843069	00000.000001919369	00000.000000006736	
01321.613511843069	00000.000017009119	00000.000007292991	
01321.613511843069	00000.070166483601	00000.000001498253	
01321.613511843069	00000.016107242376	00000.000011557333	
01321.613511843069	00000.000296525829	00000.000000282323	
01321.613511843069	00000.000419921359	00000.000002646520	
01321.613511843069	00000.000013628711	00000.000001703270	
01321.613511843069	00000.000000923493	00000.000000074803	
01321.613511843069	00000.000011208745	00000.000000208138	
01321.613511843069	00000.030829286063	00000.000035541591	
01321.613511843069	00000.024740877389	00000.000051910356	
01321.613511843069	00000.001376148500	00000.000005530864	
01321.613511843069	00000.000387646185	00000.000007965728	
01321.613511843069	00000.000002672512	00000.000000623744	
01321.613511843069	00000.001952731445	00000.000000986300	
01321.613511843069	00000.000013543679	00000.000000002068	
01321.613511843069	00000.000000049564	00000.000000038596	
01321.613511843069	00001.322732456463	00000.007978102995	
01321.613511843069	00001.242244175158	00000.000003466293	
01321.613511843069	00000.000000884842	00000.000000001522	
396463.807183158584	00005.048253545785	00000.005965150203	
396463.807183158584	00004.149653895171	00000.002925560729	
396463.807183158584	00003.834740693187	00000.000589900378	
396463.807183158584	00000.806827020924	00000.000032708492	
396463.807183158584	00000.067062635275	00000.000028189709	
396463.807183158584	00006.882629350876	00000.006003698427	
396463.807183158584	00001.856393450112	00000.000453335796	
396463.807183158584	00002.349902714469	00000.000607169707	
396463.807183158584	00001.228457089541	00000.000704826843	
396463.807183158584	00007.182937765413	00000.001815986658	
396463.807183158584	00010.883382805156	00000.000063576739	
396463.807183158584	00000.097080930158	00000.000048541128	
396463.807183158584	00004.666217233457	00000.001198500217	
396463.807183158584	00000.989420614717	00000.001385979388	
396463.807183158584	00000.288322690840	00000.000002956205	
396463.807183158584	00003.589691370131	00000.001209468796	
396463.807183158584	00000.180090884930	00000.000005438100	
396463.807183158584	00004.933262196046	00000.019274668209	
396463.807183158584	00019.915487399905	00000.000011867438	
396463.807183158584	00000.057325582934	00000.000000210696	
396463.807183158584	00029.564696662627	00000.001848620260	
396463.807183158584	00255.862393644450	00000.215597623626	
68593.843354803976	00007.716303438359	00000.000010250372	
68593.843354803976	00000.201561987753	00000.000075204284	
68593.843354803976	00000.596089680454	00000.000192035435	
68593.843354803976	00000.005457809483	00000.000000257048	
68593.843354803976	00000.095470611095	00000.000014624517	
68593.843354803976	00000.127866978596	00000.000082261405	
