Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
17959238.660811327398	00274.774583982465	00017.728712187218	
17959238.660811327398	00000.000009820389	00000.016770334441	
17959238.660811327398	00000.000000000000	00000.000035140009	
17959238.660811327398	00000.000028661061	00000.014939167451	
17959238.660811327398	00000.000004138075	00000.040459440794	
17959238.660811327398	00000.000000000022	00000.000827247404	
17959238.660811327398	00023.180204416390	00001.775905998949	
17959238.660811327398	00000.003954446914	00000.000796608484	
17959238.660811327398	00000.000000246319	00000.002619913539	
17959238.660811327398	00000.000000000000	00000.002124308569	
17959238.660811327398	00024.339539706715	00000.039278739891	
17959238.660811327398	00010.250913497182	00001.036872519159	
17959238.660811327398	00000.025045345730	00000.039226437758	
17959238.660811327398	00000.000041614815	00000.057186984323	
17959238.660811327398	00000.000000022166	00000.000032352159	
17959238.660811327398	00000.000000000010	00000.000647427612	
17959238.660811327398	00098.304261778094	00018.745083381398	
17959238.660811327398	00000.000002481181	00000.006475872159	
17959238.660811327398	00000.000000000010	00000.000145859193	
17959238.660811327398	00000.000000000000	00000.000047953775	
17959238.660811327398	00000.000000067759	00000.000234463451	
44822.509855504337	00000.000001467194	00000.023364412927	
44822.509855504337	00000.000000285555	00000.152740804619	
44822.509855504337	00000.000000000009	00000.001885985294	
44822.509855504337	00000.000000000000	00000.000526590673	
44822.509855504337	00000.000000000000	00000.000376996760	
44822.509855504337	00000.000000000000	00000.000015104772	
44822.509855504337	00000.000000000000	00000.000023728653	
44822.509855504337	00000.000000000000	00000.000070702213	
44822.509855504337	00000.000000000000	00000.000247010170	
44822.509855504337	00000.000000000000	00000.000063171367	
44822.509855504337	00000.000000000000	00000.000017325678	
44822.509855504337	00000.000003828819	00000.001655262419	
44822.509855504337	00000.000000000026	00000.039992419267	
44822.509855504337	00000.000000000000	00000.009186798256	
44822.509855504337	00000.000000000000	00000.000033775508	
44822.509855504337	00000.000000000000	00000.000000228461	
44822.509855504337	00000.000000000000	00000.000247341723	
44822.509855504337	00000.000000002248	00000.000050813224	
44822.509855504337	00000.000000000000	00000.000391966853	
44822.509855504337	00000.000000000000	00000.000009574992	
44822.509855504337	00000.000000000000	00000.000089756691	
44822.509855504337	00000.000000000000	00000.000057766384	
44822.509855504337	00000.000000000000	00000.000002536942	
44822.509855504337	00000.000000000000	00000.000007059001	
44822.509855504337	00000.000000000019	00000.001205392719	
44822.509855504337	00000.000000000000	00000.001760539250	
44822.509855504337	00000.000000000000	00000.000187579195	
44822.509855504337	00000.000000000000	00000.000270157591	
44822.509855504337	00000.000000000000	00000.000021154260	
44822.509855504337	00000.000000000000	00000.000033450344	
44822.509855504337	00000.000000000000	00000.000000070147	
44822.509855504337	00000.000000000000	00000.000001308999	
44822.509855504337	00000.001649971411	00000.270577288241	
44822.509855504337	00000.000000045305	00000.000117559305	
44822.509855504337	00000.000000000000	00000.000000051628	
42553562.125782102346	00000.206280079290	00000.640256147322	
42553562.125782102346	00000.014168221111	00000.314008562608	
42553562.125782102346	00000.000727522330	00000.063315646756	
42553562.125782102346	00000.000001984555	00000.003510693318	
42553562.125782102346	00000.000000000000	00000.003025679843	
42553562.125782102346	00000.009361542358	00000.644393635359	
42553562.125782102346	00000.006460224799	00000.048657790749	
42553562.125782102346	00000.006394347959	00000.065169211876	
42553562.125782102346	00002.286644924087	00000.075651023614	
42553562.125782102346	00000.919991586071	00000.194914894302	
42553562.125782102346	00000.003088025385	00000.006823868037	
42553562.125782102346	00000.000000000001	00000.005210054184	
42553562.125782102346	00001.473117573627	00000.128638358663	
42553562.125782102346	00000.519461988521	00000.148761019102	
42553562.125782102346	00000.004150296610	00000.000317297719	
42553562.125782102346	00000.000002068367	00000.129815646795	
42553562.125782102346	00000.000000000004	00000.000583686387	
42553562.125782102346	00011.811734526889	00002.068803699662	
42553562.125782102346	00000.001326802151	00000.001273765047	
42553562.125782102346	00000.000000000000	00000.000022614551	
42553562.125782102346	00008.203403386697	00000.198417549526	
42553562.125782102346	03250.545749966923	00023.140692050405	
4741491.001797738485	00000.312389663735	00000.000708548256	
4741491.001797738485	00000.000074061515	00000.005198432103	
4741491.001797738485	00000.000000001363	00000.013274285917	
4741491.001797738485	00000.000000000000	00000.000017768208	
4741491.001797738485	00000.000000000000	00000.001010907313	
4741491.001797738485	00000.000000138923	00000.005686249565	
4741491.001797738485	00000.000000000000	00000.000133187224	
4741491.001797738485	00000.000074993172	00000.005346982496	
4741491.001797738485	00000.000000000065	00000.002216955359	
4741491.001797738485	00000.000007206235	00000.000774237962	
4741491.001797738485	00000.000953602006	00000.104203856713	
4741491.001797738485	00000.000000000000	00000.000149283356	
4741491.001797738485	00000.002327716557	00000.298980411840	
4741491.001797738485	00000.000000000000	00000.000265273251	
4741491.001797738485	00000.000000000000	00000.000172868339	
4741491.001797738485	00000.000000000000	00000.000354987185	
4741491.001797738485	00012.848296730196	00000.498353155276	
4741491.001797738485	00000.000000007857	00000.005006583237	
4741491.001797738485	00000.000000000000	00000.004930790619	
4741491.001797738485	00000.014835319805	00000.201704552222	
4741491.001797738485	00000.000000000000	00000.000703069617	
4741491.001797738485	00000.000000000000	00000.004463667292	
