Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
21816014.200631514192	00132.916456115229	00021.535981794107	
21816014.200631514192	00000.000000042877	00000.020371790878	
21816014.200631514192	00000.000000000000	00000.000042686383	
21816014.200631514192	00000.000000180835	00000.018147377816	
21816014.200631514192	00000.000000012404	00000.049148171122	
21816014.200631514192	00000.000000000000	00000.001004900121	
21816014.200631514192	00013.410246713712	00002.157284683598	
21816014.200631514192	00000.000167033456	00000.000967681444	
21816014.200631514192	00000.000000000269	00000.003182544208	
21816014.200631514192	00000.000000000000	00000.002580507269	
21816014.200631514192	00014.303294358542	00000.047713912790	
21816014.200631514192	00002.917060876216	00001.259542569117	
21816014.200631514192	00000.001223385000	00000.047650378690	
21816014.200631514192	00000.000000195133	00000.069467981669	
21816014.200631514192	00000.000000000020	00000.000039299837	
21816014.200631514192	00000.000000000000	00000.000786463739	
21816014.200631514192	00016.454667917952	00022.770620345559	
21816014.200631514192	00000.000000008800	00000.007866576175	
21816014.200631514192	00000.000000000000	00000.000177182691	
21816014.200631514192	00000.000000000000	00000.000058251925	
21816014.200631514192	00000.000000000118	00000.000284814856	
34463.527148982306	00000.000000004158	00000.017964636113	
34463.527148982306	00000.000000000297	00000.117440698517	
34463.527148982306	00000.000000000000	00000.001450113025	
34463.527148982306	00000.000000000000	00000.000404889687	
34463.527148982306	00000.000000000000	00000.000289868598	
34463.527148982306	00000.000000000000	00000.000011613890	
34463.527148982306	00000.000000000000	00000.000018244696	
34463.527148982306	00000.000000000000	00000.000054362142	
34463.527148982306	00000.000000000000	00000.000189923361	
34463.527148982306	00000.000000000000	00000.000048571758	
34463.527148982306	00000.000000000000	00000.000013321520	
34463.527148982306	00000.000000023912	00000.001272712785	
34463.527148982306	00000.000000000000	00000.030749724449	
34463.527148982306	00000.000000000000	00000.007063626560	
34463.527148982306	00000.000000000000	00000.000025969611	
34463.527148982306	00000.000000000000	00000.000000175661	
34463.527148982306	00000.000000000000	00000.000190178288	
34463.527148982306	00000.000000000001	00000.000039069720	
34463.527148982306	00000.000000000000	00000.000301378935	
34463.527148982306	00000.000000000000	00000.000007362104	
34463.527148982306	00000.000000000000	00000.000069012917	
34463.527148982306	00000.000000000000	00000.000044415927	
34463.527148982306	00000.000000000000	00000.000001950626	
34463.527148982306	00000.000000000000	00000.000005427587	
34463.527148982306	00000.000000000000	00000.000926812997	
34463.527148982306	00000.000000000000	00000.001353658964	
34463.527148982306	00000.000000000000	00000.000144227548	
34463.527148982306	00000.000000000000	00000.000207721154	
34463.527148982306	00000.000000000000	00000.000016265275	
34463.527148982306	00000.000000000000	00000.000025719596	
34463.527148982306	00000.000000000000	00000.000000053936	
34463.527148982306	00000.000000000000	00000.000001006475	
34463.527148982306	00000.000032444433	00000.208043854511	
34463.527148982306	00000.000000000029	00000.000090390036	
34463.527148982306	00000.000000000000	00000.000000039696	
53092480.932611837983	00000.013137225413	00000.798823543683	
53092480.932611837983	00000.000389722838	00000.391776687781	
53092480.932611837983	00000.000007674475	00000.078996553995	
53092480.932611837983	00000.000000005047	00000.004380160173	
53092480.932611837983	00000.000000000000	00000.003775027080	
53092480.932611837983	00000.000189454379	00000.803985732082	
53092480.932611837983	00000.000178836491	00000.060708497679	
53092480.932611837983	00000.000163040536	00000.081309177565	
53092480.932611837983	00000.563253287477	00000.094386940319	
53092480.932611837983	00000.086935077704	00000.243187991610	
53092480.932611837983	00000.000037195608	00000.008513883811	
53092480.932611837983	00000.000000000000	00000.006500388889	
53092480.932611837983	00000.191071876164	00000.160497247782	
53092480.932611837983	00000.080749251578	00000.185603535301	
53092480.932611837983	00000.000185263666	00000.000395880445	
53092480.932611837983	00000.000000003278	00000.161966105959	
53092480.932611837983	00000.000000000000	00000.000728243579	
53092480.932611837983	00003.194966657148	00002.581168661109	
53092480.932611837983	00000.000009922493	00000.001589228800	
53092480.932611837983	00000.000000000000	00000.000028215325	
53092480.932611837983	00001.016562479396	00000.247558122954	
53092480.932611837983	01673.095149886674	00028.871772187297	
4920331.936434761621	00000.019831816576	00000.000735273485	
4920331.936434761621	00000.000000971522	00000.005394508075	
4920331.936434761621	00000.000000000000	00000.013774969288	
4920331.936434761621	00000.000000000000	00000.000018438394	
4920331.936434761621	00000.000000000000	00000.001049037008	
4920331.936434761621	00000.000000000271	00000.005900725178	
4920331.936434761621	00000.000000000000	00000.000138210818	
