Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
17700836.942227907479	00000.623576788439	00017.473627337355	
17700836.942227907479	00000.000000000000	00000.016529038954	
17700836.942227907479	00000.000000000000	00000.000034634407	
17700836.942227907479	00000.000000000000	00000.014724219222	
17700836.942227907479	00000.000000000000	00000.039877300914	
17700836.942227907479	00000.000000000000	00000.000815344775	
17700836.942227907479	00000.164300380401	00001.750353848836	
17700836.942227907479	00000.000000000002	00000.000785146695	
17700836.942227907479	00000.000000000000	00000.002582217612	
17700836.942227907479	00000.000000000000	00000.002093743521	
17700836.942227907479	00000.190689488931	00000.038713588212	
17700836.942227907479	00000.000814083247	00001.021953755287	
17700836.942227907479	00000.000000000027	00000.038662038614	
17700836.942227907479	00000.000000000000	00000.056364164642	
17700836.942227907479	00000.000000000000	00000.000031886668	
17700836.942227907479	00000.000000000000	00000.000638112273	
17700836.942227907479	00000.000272467493	00018.475374745513	
17700836.942227907479	00000.000000000000	00000.006382695798	
17700836.942227907479	00000.000000000000	00000.000143760537	
17700836.942227907479	00000.000000000000	00000.000047263805	
17700836.942227907479	00000.000000000000	00000.000231089936	
01992.609613492910	00000.000000000000	00000.001038677976	
01992.609613492910	00000.000000000000	00000.006790177450	
01992.609613492910	00000.000000000000	00000.000083842526	
01992.609613492910	00000.000000000000	00000.000023409881	
01992.609613492910	00000.000000000000	00000.000016759601	
01992.609613492910	00000.000000000000	00000.000000671491	
01992.609613492910	00000.000000000000	00000.000001054870	
01992.609613492910	00000.000000000000	00000.000003143106	
01992.609613492910	00000.000000000000	00000.000010980975	
01992.609613492910	00000.000000000000	00000.000002808318	
01992.609613492910	00000.000000000000	00000.000000770223	
01992.609613492910	00000.000000000000	00000.000073585612	
01992.609613492910	00000.000000000000	00000.001777885249	
01992.609613492910	00000.000000000000	00000.000408404228	
01992.609613492910	00000.000000000000	00000.000001501509	
01992.609613492910	00000.000000000000	00000.000000010156	
01992.609613492910	00000.000000000000	00000.000010995714	
01992.609613492910	00000.000000000000	00000.000002258930	
01992.609613492910	00000.000000000000	00000.000017425105	
01992.609613492910	00000.000000000000	00000.000000425662	
01992.609613492910	00000.000000000000	00000.000003990184	
01992.609613492910	00000.000000000000	00000.000002568037	
01992.609613492910	00000.000000000000	00000.000000112781	
01992.609613492910	00000.000000000000	00000.000000313812	
01992.609613492910	00000.000000000000	00000.000053586404	
01992.609613492910	00000.000000000000	00000.000078265752	
01992.609613492910	00000.000000000000	00000.000008338937	
01992.609613492910	00000.000000000000	00000.000012010006	
01992.609613492910	00000.000000000000	00000.000000940424	
01992.609613492910	00000.000000000000	00000.000001487054	
01992.609613492910	00000.000000000000	00000.000000003118	
01992.609613492910	00000.000000000000	00000.000000058192	
01992.609613492910	00000.000000000000	00000.012028663890	
01992.609613492910	00000.000000000000	00000.000005226164	
01992.609613492910	00000.000000000000	00000.000000002295	
50658431.698209673166	00000.000000001208	00000.762201110511	
50658431.698209673166	00000.000000000000	00000.373815505139	
50658431.698209673166	00000.000000000000	00000.075374920603	
50658431.698209673166	00000.000000000000	00000.004179349713	
50658431.698209673166	00000.000000000000	00000.003601959225	
50658431.698209673166	00000.000000000000	00000.767126636006	
50658431.698209673166	00000.000000000000	00000.057925288650	
50658431.698209673166	00000.000000000000	00000.077581520881	
50658431.698209673166	00000.000073009950	00000.090059727581	
50658431.698209673166	00000.000000067223	00000.232038926161	
50658431.698209673166	00000.000000000000	00000.008123560887	
50658431.698209673166	00000.000000000000	00000.006202375568	
50658431.698209673166	00000.000000809082	00000.153139177557	
50658431.698209673166	00000.000000900662	00000.177094455766	
50658431.698209673166	00000.000000000002	00000.000377731123	
50658431.698209673166	00000.000000000000	00000.154540695255	
50658431.698209673166	00000.000000000000	00000.000694856916	
50658431.698209673166	00000.000681019829	00002.462833795360	
50658431.698209673166	00000.000000000000	00000.001516369874	
50658431.698209673166	00000.000000000000	00000.000026921781	
50658431.698209673166	00000.000003370794	00000.236208706821	
50658431.698209673166	00010.941412924561	00027.548132497573	
1562572.325596161885	00000.000000001792	00000.000233504165	
1562572.325596161885	00000.000000000000	00000.001713158612	
1562572.325596161885	00000.000000000000	00000.004374580023	
1562572.325596161885	00000.000000000000	00000.000005855565	
1562572.325596161885	00000.000000000000	00000.000333147482	
1562572.325596161885	00000.000000000000	00000.001873920293	
1562572.325596161885	00000.000000000000	00000.000043892242	
1562572.325596161885	00000.000000000000	00000.001762113831	
1562572.325596161885	00000.000000000000	00000.000730604168	
1562572.325596161885	00000.000000000000	00000.000255152401	
1562572.325596161885	00000.000000000000	00000.034340687910	
1562572.325596161885	00000.000000000000	00000.000049196770	
1562572.325596161885	00000.000000000000	00000.098529875362	
1562572.325596161885	00000.000000000000	00000.000087421581	
1562572.325596161885	00000.000000000000	00000.000056969270	
1562572.325596161885	00000.000000000000	00000.000116987072	
1562572.325596161885	00000.000470508223	00000.164233750209	
1562572.325596161885	00000.000000000000	00000.001649934253	
1562572.325596161885	00000.000000000000	00000.001624956572	
1562572.325596161885	00000.000000000061	00000.066472329301	
1562572.325596161885	00000.000000000000	00000.000231698663	
1562572.325596161885	00000.000000000000	00000.001471014704	
1562572.325596161885	00000.000000000000	00000.000208591092	
1562572.325596161885	00000.000000000000	00000.000008161856	
33017828.198852047324	00000.000000000000	00000.356522419924	
33017828.198852047324	00000.000000000000	00000.000022740152	
33017828.198852047324	00000.000000000000	00000.033723093332	
33017828.198852047324	00000.000000000000	00000.000200757590	
33017828.198852047324	00000.000000007334	00000.090669471355	
33017828.198852047324	00000.000000000009	00001.731168716900	
33017828.198852047324	00000.000000000001	00000.285187766351	
33017828.198852047324	00000.000000000000	00000.020114431512	
33017828.198852047324	00000.000000000000	00000.000023407848	
33017828.198852047324	00000.000000489708	00000.127342640457	
33017828.198852047324	00000.000000000000	00000.049428565832	
33017828.198852047324	00000.000000000000	00000.981598000084	
33017828.198852047324	00000.000000000000	00000.003011212693	
33017828.198852047324	00000.000000000000	00000.018435721357	
33017828.198852047324	00000.000000011044	00009.459995114755	
33017828.198852047324	00000.000000000000	00000.004672208804	
33017828.198852047324	00000.000000000000	00000.008310691681	
33017828.198852047324	00000.000000000000	00000.063581412423	
33017828.198852047324	00000.000000000000	00000.006624876720	
33017828.198852047324	00000.000000000000	00000.002254723931	
33017828.198852047324	00000.000000000036	00000.010389896312	
33017828.198852047324	00000.000000000000	00000.039202770035	
33017828.198852047324	00000.000000000000	00000.000657166291	
33017828.198852047324	00000.000000000000	00000.547227290319	
33017828.198852047324	00000.000000000000	00000.000368636220	
33017828.198852047324	00000.000000000000	00000.000724243949	
21354890.932572208345	00000.000000000001	00000.144122300237	
21354890.932572208345	00000.000000000000	00000.007034199634	
21354890.932572208345	00000.000000000000	00000.000980045262	
21354890.932572208345	00000.000000000000	00000.005877529163	
21354890.932572208345	00000.000000000000	00000.018013037302	
21354890.932572208345	00000.000000037587	00000.007353789718	
21354890.932572208345	00000.000000000696	00000.178020972217	
21354890.932572208345	00000.000000000000	00000.001578370121	
21354890.932572208345	00000.000000000000	00000.099087130536	
21354890.932572208345	00000.000000000000	00000.000451616391	
21354890.932572208345	00000.000000000017	00000.029526881277	
21354890.932572208345	00000.000000000000	00000.075989828748	
21354890.932572208345	00000.000000000000	00000.040509745983	
21354890.932572208345	00000.000000000000	00000.037975603608	
21354890.932572208345	00000.000000000000	00000.004581327726	
21354890.932572208345	00000.000000000000	00000.024743880306	
21354890.932572208345	00000.000000000000	00000.000464467561	
21354890.932572208345	00000.000000000669	00003.172586951420	
21354890.932572208345	00000.002027202922	00037.023776437828	
21354890.932572208345	00000.000000000000	00000.000097065847	
21354890.932572208345	00000.000000000000	00000.000923537254	
21354890.932572208345	00000.000000000000	00000.028351523503	
21354890.932572208345	00000.000000000000	00000.017349709459	
21354890.932572208345	00000.000000000000	00000.003309464604	
43251617.006733417511	00000.000000000000	00000.004790139617	
43251617.006733417511	00000.493817400232	00000.605754661495	
43251617.006733417511	00000.000000127856	00000.306907230609	
43251617.006733417511	00000.000000000000	00000.019269886045	
43251617.006733417511	00000.000000000000	00000.000256872499	
43251617.006733417511	00000.000000000000	00000.011813489381	
43251617.006733417511	00000.000000000000	00000.000884920514	
43251617.006733417511	00000.000000000000	00000.005109425040	
